data_entrada,socio,tipo_socio,cargo,empresa,cnpj_empresa,uf_empresa,fonte
2022-08-17,CARMEL CAPITAL PARTICIPACOES LTDA,PJ,Sócio,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP,minha_receita
2022-08-17,SAUSALITO PARTICIPACOES LTDA,PJ,Sócio,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP,minha_receita
2022-08-26,ESTEVAM BORALI,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2022-09-12,FELIPE MOTA SEPAROVIC RODRIGUES,PF,Sócio-Administrador,AXOR ASSET LTDA,47917164000141,SP,minha_receita
2022-10-19,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,09526594000143,SP,minha_receita
2022-10-19,LUIZ ANTONIO BULL,PF,Diretor,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,09526594000143,SP,minha_receita
2022-11-09,CAMILA DA SILVA FERREIRA OLIVEIRA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-11-09,GIOVANA DIRENE CHAIA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-11-09,ROGERIO AVERSA DE OLIVEIRA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-11-09,THAYUHANY PEREIRA TELES SILVA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-12-05,MAURICIO ANTONIO QUADRADO,PF,Diretor,TRUSTEE HOLDING FINANCEIRA S/A,37665902000157,SP,minha_receita
2023-02-03,EDWARD BERTELLI JUNIOR,PF,Diretor,LIBERTAS ASSET S.A.,32764855000185,MG,minha_receita
2023-02-13,ANDRE KRUSCHEWSKY LIMA,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ,minha_receita
2023-02-13,AUGUSTO FERREIRA LIMA,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ,minha_receita
2023-02-16,REINALDO HOSSEPIAN SALLES LIMA,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ,minha_receita
2023-03-28,LUIZ EDUARDO DE MEDEIROS COSTA,PF,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",09463122000199,SP,minha_receita
2023-07-28,ANDREA LANZETTI DA SILVA,PF,Sócio-Administrador,BARTHMAN HOLDING LTDA,51600603000165,SP,minha_receita
2023-07-28,LUCAS LANZETTI BARTHMAN,PF,Sócio-Administrador,BARTHMAN HOLDING LTDA,51600603000165,SP,minha_receita
2023-07-28,TAINARA LANZETTI BARTHMAN,PF,Sócio-Administrador,BARTHMAN HOLDING LTDA,51600603000165,SP,minha_receita
2023-08-14,BARTHMAN HOLDING LTDA,PJ,Sócio,3P HOLDING LTDA,51806219000113,SP,minha_receita
2023-08-14,WEAKER BATISTA NETO,PF,Administrador,3P HOLDING LTDA,51806219000113,SP,minha_receita
2023-08-14,YCNEX PARTICIPACOES S/A,PJ,Sócio,3P HOLDING LTDA,51806219000113,SP,minha_receita
2023-09-13,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Administrador,ID PARTNERS LTDA,52167766000169,SP,minha_receita
2023-09-13,JOSE ROBERTO GIANCOLI FILHO,PF,Administrador,ID PARTNERS LTDA,52167766000169,SP,minha_receita
2023-09-15,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Administrador,ID ACCESS LTDA,52195129000104,SP,minha_receita
2023-09-15,ID PARTNERS LTDA,PJ,Sócio,ID ACCESS LTDA,52195129000104,SP,minha_receita
2023-09-15,ISABELE PERES CHIARADIA BISSOLI,PF,Sócio,ID ACCESS LTDA,52195129000104,SP,minha_receita
2023-09-15,JENNYFER ANJOS,PF,Sócio,ID ACCESS LTDA,52195129000104,SP,minha_receita
2023-09-15,JOSE ROBERTO GIANCOLI FILHO,PF,Administrador,ID ACCESS LTDA,52195129000104,SP,minha_receita
2023-09-15,LUCIMARA DE ARAUJO LIMA,PF,Sócio,ID ACCESS LTDA,52195129000104,SP,minha_receita
2023-09-19,GIOVANNI PIANA NETTO,PF,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,51213651000109,SP,minha_receita
2023-09-19,WALTER JOSE BOINA PIANA,PF,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,51213651000109,SP,minha_receita
2023-09-19,WALTER JOSE PIANA,PF,Sócio,WILL BANK HOLDING FINANCEIRA LTDA,51213651000109,SP,minha_receita
2023-10-27,ANDRE KRUSCHEWSKY LIMA,PF,Diretor,BANCO MASTER MULTIPLO S.A.,33884941000194,SP,minha_receita
2023-10-27,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,BANCO MASTER MULTIPLO S.A.,33884941000194,SP,minha_receita
2023-10-27,LUIZ ANTONIO BULL,PF,Presidente,BANCO MASTER MULTIPLO S.A.,33884941000194,SP,minha_receita
2023-11-08,GUARACI SILLOS MOREIRA,PF,Sócio,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP,minha_receita
2023-11-09,ID ACCESS LTDA,PJ,Sócio,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP,minha_receita
2023-11-09,ID PARTNERS LTDA,PJ,Sócio,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP,minha_receita
2023-11-09,LUCIMARA DE ARAUJO LIMA,PF,Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP,minha_receita
2023-11-10,GUARACI SILLOS MOREIRA,PF,Administrador,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP,minha_receita
2023-11-27,ANDRE LUIS FAUTH,PF,Diretor,CATALISE CAPITAL PARTNERS S.A.,33194855000150,PR,minha_receita
2024-02-26,VINICIUS GONCALVES GARCIA,PF,Sócio,ID ACCESS LTDA,52195129000104,SP,minha_receita
