cnpj,razao_social,uf,situacao,capital_social,cnae,fonte
39248102000166,BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
35506825000167,PROFIT MAPS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
35940506000165,PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
34849800000101,PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
30142469000126,META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
28880602000108,E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
27531264000128,DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
26686967000162,RAYDAN INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
52114474000168,CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
51566307000195,GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
51374900000130,RECEBA SEGURO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
50167484000136,IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
49088419000136,INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
49225426000132,B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
01460572000116,FDO INV IMOB PIT STOCK,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
02739110000103,FDO INV IMOB TIME CENTER,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14788476000143,FUNDO DE INVESTIMENTO IMOBILIARIO - FII ESMERALDA,,LIQUIDAÇÃO,,FUNDO DE INVESTIMENTO,cvm
16685929000131,FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,,EM FUNCIONAMENTO NORMAL,,FUNDO DE INVESTIMENTO,cvm
15383998000128,MAXIMA PRIVATE EQUITY VI FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15388976000150,MAXIMA PRIVATE EQUITY VII FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15388352000133,MAXIMA PRIVATE EQUITY VIII FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15381923000108,MAXIMA PRIVATE EQUITY IX FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15382091000144,MAXIMA PRIVATE EQUITY X FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14576983000113,MÁXIMA PRIVATE EQUITY III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14580627000173,MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
60746948000112,BANCO BRADESCO S.A.,,,,,cvm_papel
14580349000154,MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14587971000194,MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
13259717000102,MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
13707891000162,VIAJA BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
46745079000180,FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
32287774000131,MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
32287737000123,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
04894438000111,MAXIMA FMP-FGTS VALE DO RIO DOCE,,EM SITUAÇÃO ESPECIAL,,FUNDO DE INVESTIMENTO,cvm
